,Product,Price,Condition,Set,Stock
0,Repel the Vile - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,10
1,Wanderer's Intervention - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,6
2,Planar Incision,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,26
3,Planar Incision - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,9
4,Short Circuit - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,7
5,Skyswimmer Koi,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,23
6,Skyswimmer Koi - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,6
7,Suit Up,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,27
8,Suit Up - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,7
9,Reckoner Shakedown - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,9
10,Return to Action - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,6
11,Twisted Embrace - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,9
12,Undercity Scrounger - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,6
13,Virus Beetle - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,3
14,Reinforced Ronin,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,19
15,Scrapyard Steelbreaker,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,3
16,Scrapyard Steelbreaker - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,9
17,Seismic Wave,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,31
18,Seismic Wave - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,3
19,Thundering Raiju,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,21
20,Towashi Songshaper - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,5
21,Orochi Merge-Keeper - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,3
22,Season of Renewal,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,27
23,Season of Renewal - Foil,$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,6
24,"Shigeki, Jukai Visionary",$0.50,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,20
