título,año,kms,link,precio,zona,descripción
Suzuki Fun A/a Titular Directo,2005,324.000,https://auto.mercadolibre.com.ar/MLA-1940852074-suzuki-fun-aa-titular-directo,3600 dólares,Ituzaingó Norte - Ituzaingó - Bs.As. G.B.A. Oeste,"Suzuki fun 2005 con aire acondicionado.Titular al día, segundo dueño ( el primero mi cuñado).En el 2020 se le hizo el motor completo porque se me cortó la correa por los años.Mantenimiento cada 10.000kmEn mayo 2023 se cambió correa y bomba de agua.Batería con 1 añoAmortiguadores traseros en garantía El auto se usa todos los días para ir a trabajar. Super fiel, todos los km son de autopista.Detalles de chapa y pintura como se ve en las fotos y el desgaste de los años.Hace ruido la homocineticaSe puede ver por Ituzaingo.No se aceptan permutas, solo efectivo en uSs billetes nuevos, transferencia en dólares o en pesos al tipo de cambio blue vendedor.El precio no es negociable ya es el más barato."
Suzuki Fun 1.0,2004,162.850,https://auto.mercadolibre.com.ar/MLA-1941175740-suzuki-fun-10,4100 dólares,Capital Federal - Capital Federal,"Suzuki Fun 1.0 A/A-Dueño directo.-Impecablemente cuidado. Mecanica excelente.-Siempre uso particular, sin niños ni mascotas.-2 dueños solo.-Km REALES y comprobables.-Cambio de aceite.-Cubiertas al 90%.-Frenos delanteros + freno de mano completos con discos nuevos. Perfectos.-Todas las luces funcionando y nuevas.-Revisión y carga completa de aire acondicionado.-Luneta con perlantes. Tazas originales.-Apto ruta cuando quieras sin ningún tipo de problema.-No recalienta, no fuma, no pierde, no ventea.-Muy, muy economico en gasto de combustible.-Precio negociable solo al lado del auto.-Sin infracciones de ningún tipo. Papeles diez puntos. Valor patente casi inexistente.-Gran unidad, excelente oportunidad. Tu consulta no molesta!"
Ford Fiesta CL 1.3,1996,63.200,https://auto.mercadolibre.com.ar/MLA-1940882452-ford-fiesta-cl-sedan-5-puertas,4600000 pesos,Avellaneda - Bs.As. G.B.A. Sur,"""UNICO POR SU ESTADO Y KILOMETROS 63.000 REALES CON SUS MANUALES DE MANTENIMIENTO ES UN AUTO BASE MUY ECONOMICO .DUEÑO DIRECTO NADA PARA HACERLE"" ¡UNICO DE VERDAD!!!!!El auto se vende solamente transferido. Sr Javier."
Chevrolet Corsa Classic 1.6,2007,226.000,https://auto.mercadolibre.com.ar/MLA-1940781476-impecable-chevrolet-corsa-classic-gnc-ano-2007-con-226000km,4900 dólares,Moreno - Moreno - Bs.As. G.B.A. Oeste,"* ESTE VEHICULO POSEE OPCIONES DE FINANCIACION!! CONSULTAR!!!*Impecable Chevrolet Corsa Classic 1.6 Con GNCAño 2007Con 226.000 km3 Puertas Tiene :- Equipo de GNC - 3 Puertas - Buen estado general- Aviso de luces encendidas- Columna de dirección colapsable- Cinturones de seguridad delanteros con regulación- Inmobilizador de motor- Tercera luz de stop- Computadora- Asiento del conductor con regulación- Radio MP3 - USB - Aux In- Luces de lecturaListo para Transferir. Acepto Permuta ! (No Acepto Plan de Ahorro)""Compre Tranquilo, Compre a Profesionales ! Somos una Empresa Familiar Muy Joven, Nuestro Verdadero Interes Esta en la Satisfaccion de Nuestros Clientes ""( Todos los precios incluyen el costo de Gestoria y Sellados )> USTED SEÑA EL AUTO Y NOSOTROS EN 24HS NOS OCUPAMOS DE TODO.> UNA VEZ QUE EL VEHICULO ESTA A SU NOMBRE, LO ABONA Y RETIRA, SIN RIESGOS POR POSIBLE EMBARGO O PRENDA, MULTAS O DEUDA DE PATENTESPodes encontrarnos en:*Sucursal Ituzaingo:Calle Presidente Peron 7181 (Sobre Colectora a 50Mts de la Bajada del Acceso Oeste y Puente Barcala/ Cipolleti) -Ituzaingo -- Horarios de Atención:  Lunes a Viernes de 9:30 a 18 hs  Sabados 10 a 18 hs*Sucursal Moreno:Colectora Sur Acceso Oeste 4014 - Moreno -- Horarios de Atencion:  Lunes a Viernes de 9:30 a 18 hs  Sabados de 10 a 18 hs"
Volkswagen Gol 1.4 Power 83cv,2013,121.000,https://auto.mercadolibre.com.ar/MLA-1940905638-volkswagen-gol-2013-14-power-83cv,5500000 pesos,Lanús Este - Lanús - Bs.As. G.B.A. Sur,"MF AUTOMÓVILESVOLKSWAGEN GOL POWER 1.4 L 5 PTAS  AÑO 2013El valor publicado corresponde al anticipo de $5.500.000 y cuotas.Información del Vehículo:	•	2do Dueño  	•	120.000 km	•	Cubiertas nuevas	•	Aire acondicionado y dirección	•	Alarma con cierre centralizado       •     Gnc y nafta Precio Contado: $9.500.000Precio Permuta: $10.500.000Documentación y Transferencia:	•	Listo para transferir (verificación policial al día, patentes pagas, sin deuda de infracciones)	•	No incluye la transferenciaFinanciamiento Disponible:Crédito prendario con único requisito: DNI¡La mejor tasa del mercado!Plan de Cuotas Crédito FIJO:	•	Anticipo: $5.500.000	•	12 cuotas de $620.000	•	18 cuotas de $490.000	•	24 cuotas de $440.000	•	30 cuotas de $405.000	•	36 cuotas de $385.000(Más seguro)Ubicación: Lanús EsteContáctanos: 1156183333 (Matías)¿Te interesa?  ¡Escríbenos y coordinamos una visita para que lo veas!"
Ford Fiesta 1.6 Clx,2001,90.000,https://auto.mercadolibre.com.ar/MLA-1941022250-ford-fiesta-clx-2001-16-zetec-impecable-estado-90-mil-km-,5900 dólares,Florida - Vicente López - Bs.As. G.B.A. Norte,"Ford Fiesta CLX año 2001 con motor cadenero 1.6 Zetex Rocam en impecable estado con solo 90.000 KM.Cuenta con aire acondicionado, dirección hidráulica, levanta vidrios eléctricos.El vehículo tuvo muy poco uso y estuvo 5 años guardado ya que es de una persona mayor de 86 años que dejo de manejar.Esta todo al día para su transferencia y radicado en Vte. Lopez.Para su puesta en marcha se realizo:Batería nueva Moura.Reemplazo de todos los fluidos y todos los filtros, mangueras de agua y tuerca acople del block al deposito de agua.Desarme y limpieza del tanque de nafta.Se reemplazaron los 4 inyectores (Bosch originales), cables de bujías, bobina de encendido NGK y regulador de presión de combustible (Bosch).Se reemplazo soporte con poleas y tensor SKF, correa Poly V para accesorios.Se reemplazaron los fuelles de ambos semiejes.Se reemplazaros los 2 rulemanes de ruedas traseras SKF.Se reemplazo solenoide de calefacción.Se instalaron lamparas H4 Cree led.Se reemplazo junta de múltiple de admisión y junta tapa de válvulas.Conservo todas las facturas de compra de los repuestos empleados.Podría tomar vehículo en parte de pago de menor valor.Se puede ver en Saavedra (cochera en Donado y Tamborini) previo contacto telefónico para coordinar día y horario.El día 07/11 tiene turno para realizar su respectiva VTV.Al auto podes conducirlo y probarlo a total conformidad."
Toyota Corona 2.0 Gli At,2001,250.000,https://auto.mercadolibre.com.ar/MLA-1940887026-toyota-corona-2001-automatico,6000 dólares,Florida - Vicente López - Bs.As. G.B.A. Norte,"BUEN AUTO, BIEN MANTENIDO, TODO FUNCIONA COMO DE FABRICA, VERIFICACION TECNICA SIN OBSERVACIONES"
Citroën Berlingo Furgon 1.9 D,2008,160.000,https://auto.mercadolibre.com.ar/MLA-1456620965-citron-berlingo-furgon-19-d,6200 dólares,Caballito - Capital Federal - Capital Federal,Listo para transferir Vendo o permuto por mayor valor
Peugeot 206 1.4 Active 75cv,2008,147.380,https://auto.mercadolibre.com.ar/MLA-1456585397-peugeot-206-14-active-75cv,6300 dólares,Liniers - Capital Federal - Capital Federal,El vendedor no incluyó una descripción del producto
Chevrolet Classic - Lt - 2011 - Muy Buen Estado!!!,2011,119.000,https://auto.mercadolibre.com.ar/MLA-1941178824-chevrolet-classic-lt-2011-muy-buen-estado,6500 dólares,Guillermo Enrique Hudson - Berazategui - Bs.As. G.B.A. Sur,"* Segundo dueño, comprado a la dueña original directamente* Muy buen estado general* Distribución completa hecha a los 75000 con conjunto original GM (correa, tensor, bomba de agua y termostato)* 4 amortiguadores nuevos colocados el año pasado* Frenos completos hechos el año pasado* Cambio de aceite y filtros realizado hace un mes* Bujìas nuevas colocadas hace un mes (originales GM)* Aire funcionando perfectamente (nunca se le tuvo que hacer nada)* VTV vigente hasta Junio 2025* Municipalizado pero con la patente paga anualNo Permuto - No tomo nada en parte de pago - El auto se va transferido si o si"
Peugeot 206 1.6 Xt Premium,2006,160.000,https://auto.mercadolibre.com.ar/MLA-1941183962-peugeot-206-xt-premium,6700 dólares,Quilmes - Quilmes - Bs.As. G.B.A. Sur,"Peugeot 206 XT Premium 1.6 16v-160.000 kms. Titular. VTV vigente hasta marzo 2025, grabado de autopartes. Sin deudas. -Color azul de china, línea 2007, con el nuevo interior en tela mixta y el exterior actualizado, incluyendo paragolpes ""boca ancha"" y molduras color carrocería. -Esta versión incluye: Climatizador automático, techo corredizo eléctrico. Levantavidrios en las cuatro puertas, automático para el conductor. espejos eléctricos. Butacas envolventes en pana, excelentes para viajes largos. Volante en cuero microperforado y pomo en cuero. Discos en las cuatro ruedas. ABS y airbags. -Recientemente se le hizo:  Service de refrigeración, con termostato y radiador de calefacción nuevos. Service al mecanismo del techo solar asegurando su funcionamiento. Cubiertas Firestone F-600 en excelente estado. Funciona muy bien y es muy cómodo tanto en ciudad como en autopista o ruta.-Adicionales: Estereo Crown Mustang AUX/USB/bluetooth. Dos 6x9 Crown Mustang en luneta. Alarma X-28 con presencia. Alfombrillas Vapren.  Dispongo del estereo original también. -Está en excelente estado con muy leves detalles estéticos. Dispongo de todos los manuales, guías, duplicado de llave y todos sus accesorios originales. -Evalúo permutas de menor o mayor valor por autos en estado similar. Se puede ver en el centro de Quilmes."
Peugeot 207 1.4 Allure 75cv,2014,129.000,https://auto.mercadolibre.com.ar/MLA-1941264902-peugeot-207-14-allure-75cv,6900 dólares,La Plata - La Plata - Bs.As. G.B.A. Sur,El vendedor no incluyó una descripción del producto
Renault Clio 1.2 Mío Authentique,2013,90.000,https://auto.mercadolibre.com.ar/MLA-1456543323-renault-clio-12-mio-expression-pack-1,7000 dólares,Tristán Suárez - Ezeiza - Bs.As. G.B.A. Sur,"Vendo Renault Clio 2013 1.2 nafta con 90mil km, cuenta con aire, direccion, cierre centralizado e alarma, funciona todo perfecto, cubiertas al 90%, vtv hasta 2025, titular todo al día, estéreo con usb auxiliar,bluetooth, se puede financiar entregando 5millones y el resto en cuotas fijas y en pesos"
Seat Leon 2.0 I Manual 140cv,2009,270.000,https://auto.mercadolibre.com.ar/MLA-1456671379-seat-leon-20-i-manual-140cv,7000 dólares,Villa Adelina - San Isidro - Bs.As. G.B.A. Norte,"Seat leon 2.0 tdi modelo 2009, 270 mil kilómetros( en su mayoría son de ruta )San isidro pilar todos los días.Motor 2.0 Tdi 140 CV turbo diesel VTV al día Cubiertas delanteras nuevas Tren delantero hecho a nuevo hace 2 meses Distribución completa con bomba de agua y poli V hecho a nuevo a los 265mil kilómetros Frenos delanteros a nuevo hace 3 meses y cambio de liquido de frenos.Tiene hecho el service de cambio de aceite y todos los filtros( aceite , combustible , aire y habitáculo) hace poquitos kilómetros.Los interiores tienen hecha la limpieza de tapizado recientemente y están en perfectas condiciones como pueden apreciarse en las fotos.Se puede pasar a ver por pilar y por san isidro zona norte"
Ford Ka 1.6 Pulse 95cv,2012,84.800,https://auto.mercadolibre.com.ar/MLA-1940883700-ford-ka-2012-16-pulse-95cv,6900000 pesos,Capital Federal - Capital Federal,"VENDO FORD KA VIRAL, 1.6.Documentacion al dia, servicios al dia.Bateria OK, neumaticos en buen estado, aire acondicionado funcionando.Sin deudas ni infracciones.Se puede ver por Villa Devoto o zona oeste Moreno"
Chevrolet Astra 2.0 Gl,2008,179.542,https://auto.mercadolibre.com.ar/MLA-1940818652-chevrolet-astra-2008-20-gl,7000000 pesos,Tigre - Bs.As. G.B.A. Norte,"Vendo Chevrolet modelo ASTRA GL, año de fabricación 2008 con 179542 kilómetros, en excelente estado de conservación y funcionamiento, funciona todo, sin multas ni deudas, VTV vigente hasta agosto 2025, gravado de autopartes, alarma, cierre centralizado, levantavidrios eléctricos, aire y dirección, no permuto, el precio es el publicado."
Renault Clio 1.2 Mio Confort Pack 5P,2016,55.000,https://auto.mercadolibre.com.ar/MLA-1941239400-renaul-clio-mio-confort-pack-5-puertas-oportunidad,7200 dólares,Acassuso - San Isidro - Bs.As. G.B.A. Norte,Excelente oportunidad por estado y funcionamiento. Se vende ùnicamente transferido. Posibilidad de tomar vehìculo en parte de pago.
Renault Clio 1.2 Pack Plus 5 p,2009,190.000,https://auto.mercadolibre.com.ar/MLA-1456507447-clio-pack-2009-5-puertas,7250000 pesos,General Paz - Córdoba - Córdoba,El vendedor no incluyó una descripción del producto
Renault Clio 1.2,2016,145.000,https://auto.mercadolibre.com.ar/MLA-1456489697-renault-clio-12,7400 dólares,Temperley - Lomas de Zamora - Bs.As. G.B.A. Sur,"Renault clio 1.2 expressionModelo 2016145 mil km originalesSegundo dueñoAire acondicionado.Funciona excelenteDigno de ver.Se entrega unicamente transferidoSe puede ver por temperley, bombero ariño 1190, esquina eva peron, whatsap o llamada antes de venir"
Volkswagen Fox 1.6 Trendline 3 p,2007,120.000,https://auto.mercadolibre.com.ar/MLA-1941229012-volkswagen-fox-16-trendline-3-p,7300000 pesos,Villa Urquiza - Capital Federal - Capital Federal,"Impecable KM hechos en ruta, vendo por viaje. Cubiertas 1 año de uso."
Chevrolet Aveo 1.6 Lt,2010,123.500,https://auto.mercadolibre.com.ar/MLA-1456596159-chevrolet-aveo-lt-mt-2010,7500000 pesos,Santa Rita - Capital Federal - Capital Federal,"SOY TITULAR - DOCUMENTACION AL DIA - VTV RECIEN HECHASERVICIOS HECHOS EN TIEMPO Y FORMAIMPERDIBLE OPORTUNIDAD!!!! EXCELENTE AUTO!!!!!!POCOS KM 123.500 COMPROBABLES - MECANICA 10 PUNTOS, SOLAMENTE DETALLES A LA VISTA. AUTO ORIGINAL 100 % - CUBIERTAS DELANTERAS NUEVAS. LAS TRASERAS EN MUY BUEN ESTADO.MANTENIMIENTO HECHO EN TIEMPO Y FORMACONOZCO EL AUTO DE 0KM SIEMPRE BIEN CUIDADOSE VENDE TRANSFERIDO SI O SI Y EL COSTO ES A CARGO DEL COMPRADORPUEDE VERSE DE LUNES A SABADO EN BELGRANO DURANTE EL DIA O VILLA DEL PARQUE EL DOMINGO.NO QUIERO COMPRAR PLANES DE AHORRO NI 0KM - CONCESIONARIOS Y AGENCIAS ABSTENERSE"
Renault Scénic Ii Rt ,2003,189.000,https://auto.mercadolibre.com.ar/MLA-1456633265-renault-scenic-ii-rt,7500000 pesos,Esteban Echeverría - Bs.As. G.B.A. Sur,"Mecanica 10 puntos todo los services realizados y de respuestos, pintura original no esta lustrada,Scenic 1.6 Rt, equipo GNC de 5ta de 40 0km comprado en 2023,Muy cuidada todo funciona uso familiar se va transferida."
Peugeot 206 2.0 Hdi Xt Premium,2008,118.000,https://auto.mercadolibre.com.ar/MLA-1940840858-peugeot-206-2008-20-hdi-xt-premium,7900 dólares,Capital Federal - Capital Federal,"Realmente el mejor 206 lejos, distribucion y cambio de aceite recién realizado, 4 cubiertas nuevas, funciona todo su equipamiento. SIN DETALLES"
Suzuki Swift 1.5 N,2011,160.000,https://auto.mercadolibre.com.ar/MLA-1941176106-suzuki-swift-2011-15-n,7900 dólares,Capital Federal - Capital Federal,El vendedor no incluyó una descripción del producto
Gnc 5ta Generación,2012,121.500,https://auto.mercadolibre.com.ar/MLA-1940871090-gnc-5ta-generacion,7800000 pesos,Santo Tomé - Santa Fe,"Vehículo listo para transferir, papeles al dia, 4 neumáticos nuevos japones"
Chevrolet Prisma 1.4 Lt 92cv,2012,95.000,https://auto.mercadolibre.com.ar/MLA-1940887476-chevrolet-prisma-2012-14-lt-92cv,7800000 pesos,Quilmes - Bs.As. G.B.A. Sur,"1era mano. Titular al día. Excelente estado.ORIGINAL DE FÁBRICA. Aire acondicionado. Dirección hidráulica. Levantavidrios delanteros eléctricos. Cierre centralizado a distancia y en movimiento. “Equipo GNC de 5ta generación. VTV hasta 2025. Grabado de partes. Papeles al día listo para transferir. zona sur, Quilmes."
Ford Ka 1.0 Fly 63cv,2013,129.000,https://auto.mercadolibre.com.ar/MLA-1941016248-ford-ka-10-fly-63cv,8000000 pesos,Campana - Campana - Buenos Aires Interior,El vendedor no incluyó una descripción del producto
Renault Kangoo 1.5 2 Furgon Confort Aa Da Svt 1plc,2010,210.900,https://auto.mercadolibre.com.ar/MLA-1456508377-renault-kangoo-2010-15-2-furgon-confort-aa-da-svt-1plc,8200 dólares,Morón - Bs.As. G.B.A. Oeste,"Renault Kangoo Confort 1.5dci Cd Aa Da Svt 1plcAño 2010Furgon vidriado con asientos asentado en el título210.000km realesSúper económica 5L/100KMFunciona todo, el aire congelaToda pintura original de fábrica4 cubiertas y llantas 0km Vtv al díaSe puede ver por zona oeste haedo, solo reales interesados"
Citroën C3 1.6 I Sx,2009,198.000,https://auto.mercadolibre.com.ar/MLA-1940783858-citron-c3-16-i-sx,8100000 pesos,Godoy Cruz - Godoy Cruz - Mendoza,"Impecable, funciona todo. Services al día. Distribución, aceite y filtros nuevo. 2 cubiertas nuevas las otras al 70%.  Interiores impecables. Digno de ver"
Nissan Tiida 1.8 Tekna,2011,132.000,https://auto.mercadolibre.com.ar/MLA-1940797890-nissan-tiida-2011-18-tekna,8300 dólares,Capital Federal - Capital Federal,El vendedor no incluyó una descripción del producto
Peugeot 207 1.4 Sedan Allure 75cv,2013,164.100,https://auto.mercadolibre.com.ar/MLA-1940893792-peugeot-207-14-sedan-allure-75cv,8300 dólares,Paternal - Capital Federal - Capital Federal,El vendedor no incluyó una descripción del producto
Citroën C4 Picasso 1.6 Am80 Hdi 110cv,2012,316.000,https://auto.mercadolibre.com.ar/MLA-1941242912-c4-gran-picasso-hdi-2012,8500000 pesos,Palermo - Capital Federal - Capital Federal,El vendedor no incluyó una descripción del producto
Chevrolet Sonic 1.6 Lt Mx,2014,86.000,https://auto.mercadolibre.com.ar/MLA-1940540542-chevrolet-sonic-2014-16-lt-mx,8700 dólares,Avellaneda - Bs.As. G.B.A. Sur,"Chevrolet sonic lt 1.6 16v.Soy titular,  al día, sin deudas.Listo para transferir.Funciona todo perfectamente. Radicado en avellaneda. Se vende únicamente transferido. Lo muestro en avellaneda."
Chrysler Sebring 2.7 Lx,2005,150.000,https://auto.mercadolibre.com.ar/MLA-1456488631-chrysler-sebring-lx-27-2005,8700000 pesos,San Justo - La Matanza - Bs.As. G.B.A. Oeste,"Vendo chrysler sebring LX impecable estado 155.000 km de fabrica, segundo titular llaves y manuales de fábrica.Siempre atendido con taller oficial.El auto ya esta en optimas condiciones para viajar donde sea sin necesidad de hacerle absolutamente nada."
Renault Duster 2.0 4x2 Privilege 138cv,2012,290.000,https://auto.mercadolibre.com.ar/MLA-1456530395-renault-duster-2012-20-4x2-privilege-138cv,9000 dólares,La Matanza - Bs.As. G.B.A. Oeste,"Renault Duster Privilege 2.0 con GNC 5ta gen. MANTENIMIENTO PREMIUM todos los service al dia, vtv al dia, cuatro cubiertas nuevas (menos de 5000km) y todos los km hechos en ruta (mucho menor desgaste en horas de uso). Andar impecable digna de ver."
Peugeot 308 1.6 Allure Nav Hdi 115cv,2013,175.038,https://auto.mercadolibre.com.ar/MLA-1941017950-peugeot-308-16-allure-nav-hdi-115cv,9450 dólares,Martín Coronado - Tres de febrero - Bs.As. G.B.A. Oeste,Peugeot 308 nav hdilisto para transferirmuy buen estado general no acepto permutas de ningún tipo
Audi A3 Sportback 1.6 Tip. Premium Cu.,2008,137.000,https://auto.mercadolibre.com.ar/MLA-1941172652-audi-a3-sportback-2008-16-tip-premium-cu,9500 dólares,Capital Federal - Capital Federal,Vendo Audi A3 1.6 Sportback Tiptronic Tapizados de cuero y Alcántara Doble techo solarMuy buen estado TitularRadicado en CABASolo vendo transferido
Renault Kangoo 1.6 Furgon Ph3 Confort 1plc,2016,86.000,https://auto.mercadolibre.com.ar/MLA-1941179456-renault-kangoo-16-furgon-ph3-confort-1plc,9500 dólares,Valentín Alsina - Lanús - Bs.As. G.B.A. Sur,"EXELENTE CAMIONETA, EN PERFECTO ESTADO, VTV HASTA JUNIO 2025 SIN NINGUN PROBLEMA, SE USA SOLO 2 VECES X SEMANA. UNICO DUEÑO, NUNCA TUVO GNC, SOLO NAFTA, LE CAMBIAMOS LA CORREA HACE UNOS MESES, SIEMPRE BIEN MANTENIDA, SOY PARTIUCULAR, PODRIA TOMAR PERMUTA POR CAMIONETA CON CAJA."
Renault Sandero Stepway 1.6 Privilege Nav 105cv,2014,135.000,https://auto.mercadolibre.com.ar/MLA-1941254060-sandero-stepway-privilege,9600 dólares,La Plata - La Plata - Bs.As. G.B.A. Sur,Renault Sandero Stepway Privilege . Cuatro Cubiertas nuevas. correa y bomba de agua cambiada.
Toyota Rav4,2001,495.000,https://auto.mercadolibre.com.ar/MLA-1941215540-toyota-rav4,9500000 pesos,Don Torcuato Oeste - Tigre - Bs.As. G.B.A. Norte,"Única por su año.Motor hecho a nuevo hace 4 meses 10 mil kms.Papeles al día.Siempre uso en ruta.Pantalla con Android auto y cámara de marcha atrás.Creed led bajas y auxiliares.Alarma pst con cierre centralizado.Llave navaja nueva.GNC de 5 , tubo de 60.2 cubiertas nuevas."
Toyota Etios 1.5 Sedan Xls,2015,71.000,https://auto.mercadolibre.com.ar/MLA-1940602792-toyota-etios-15-sedan-xls,9800 dólares,Villa Lynch - General San Martín - Bs.As. G.B.A. Norte,Muy buen estado funciona todo su equipamiento acepto permutas soy titular listo para transferir no debe nada
