title,year,kmss
Fiat Cronos 1.8 16v Precision,2018,32.000
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Trendline B33,2014,280.000
Toyota Yaris 1.5 107cv Xls,2024,2.000
Chevrolet Tracker 1.8 Ltz 140cv,2018,111.000
Toyota  Corolla Xei Cvt 1.8 Xei Cvt 1.8,2017,78.000
Peugeot 208 1.6 Feline Tiptronic,2022,34.000
Automatica,2017,94.500
Volkswagen Golf 1.4 Comfortline Tsi,2018,32.683
Jeep Compass 2.4 Limited Plus,2019,109.000
Toyota Yaris 1.5 107cv Xs,2024,3.300
Chevrolet Avalanche 5.3 4x4,2006,190.000
Undefined,2013,226.000
Toyota Corolla 2.0 Xli Mt 170cv,2022,19.200
Ford Ecosport 2.0 Gdi Se 170cv 4x2,2019,25.000
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline C33,2014,153.000
Fiat Strada 1.4 8v Endurance Cd,2023,15.000
Ford Ranger 3.2 Cd 4x4 Xls Tdci 200cv,2012,197.000
Ford Mondeo 2.0 Titanium Ecoboost At 240cv,2018,69.000
Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,2017,220.000
Volkswagen Nuevo Polo 1.6 Msi Track,2024,4.700
Audi TT 1.8 T Fsi,2010,95.000
Honda HR-V 1.8 Ex-l 2wd Cvt,2016,98.000
Volkswagen T-Cross 1.6 Trendlinde Mt,2020,51.000
Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,2017,111.000
Toyota Hilux 2.8 Cd Srx 177cv 4x2 At,2022,61.000
Toyota Corolla 2.0 Seg Cvt 170cv,2023,65.000
Fiat Toro Freedom 1.8 At6 Naft,2019,15.000
Nissan Versa L/21 Exclusive Cvt,2021,21.000
Volkswagen Virtus 1.6 Msi,2024,1.200
Audi A6 3.0 Tfsi 300cv Stronic Quattro,2012,68.400
Renault Master 2.3 L1h1 Aa,2018,48.500
Renault Captur 2.0 Intens Manual,2021,51.500
Volkswagen Amarok Confort Line,2017,90.000
Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline 4x4,2021,110.000
Ford Ranger 3.2 Cd Xls Tdci 200cv Automática,2016,86.000
BMW Serie 1 1.5 118i Sport Line 136cv,2018,123.000
Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline,2020,68.000
Volkswagen T-Cross 1.6 Comfortline At,2019,110.000
Ford Ranger 3.2 Cd Xlt Tdci 200cv Manual 4x2,2017,117.000
Nissan Frontier 2.3bt S 4x2 At L22,2023,4.800
Toyota Hilux Pick-up 2.5 Cd Dx Pack 120cv 4x2 - H3,2015,128.000
Toyota Hilux Pick-Up 2.4 Cd Sr 150cv 4x2,2019,153.000
Fiat Cronos 1.3 Precision Cvt,2024,2.000
Nissan Sentra 2.0 Advance,2022,72.000
Chevrolet Trailblazer 2.8 Nueva Ltz Tdci 200cv,2019,140.000
Chevrolet Cruze 5 Premier 4 puertas sedan,2021,27.000
Nissan Frontier 2.3 X-Gear + Cd 4X4 At,2022,100.000
Ford Ranger 3.2 Cd 4x4 Limited Tdci 200cv,2016,141.000
Volkswagen Golf 1.4 Comfortline Tsi,2018,32.683
Jeep Compass 2.4 Limited Plus,2019,109.000
Toyota Yaris 1.5 107cv Xs,2024,3.300
Chevrolet Avalanche 5.3 4x4,2006,190.000
Undefined,2013,226.000
Toyota Corolla 2.0 Xli Mt 170cv,2022,19.200
Ford Ecosport 2.0 Gdi Se 170cv 4x2,2019,25.000
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline C33,2014,153.000
Fiat Strada 1.4 8v Endurance Cd,2023,15.000
Ford Ranger 3.2 Cd 4x4 Xls Tdci 200cv,2012,197.000
Ford Mondeo 2.0 Titanium Ecoboost At 240cv,2018,69.000
Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,2017,220.000
