,Product,Price,Link
0,Pokémon Tcg: Pokémon Go V Battle Deck: Melmetal Original,10.900,https://articulo.mercadolibre.com.ar/MLA-1164772875-pokemon-tcg-pokemon-go-v-battle-deck-melmetal-original-_JM#position=1&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
1,Juego De Cartas Tcg Elite Trainer Box Pokemon Go  Mewtwo,39.800,https://articulo.mercadolibre.com.ar/MLA-1164843140-juego-de-cartas-tcg-elite-trainer-box-pokemon-go-mewtwo-_JM#position=2&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
2,Juego De Cartas Tcg Pokemon Go Alolan Exeggutor V Original,16.900,https://articulo.mercadolibre.com.ar/MLA-1164843220-juego-de-cartas-tcg-pokemon-go-alolan-exeggutor-v-original-_JM#position=3&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
3,Pokemon Tcg - Mazo - V Battle Deck Mewtwo - Nuevo !!,13.625,https://articulo.mercadolibre.com.ar/MLA-1164445894-pokemon-tcg-mazo-v-battle-deck-mewtwo-nuevo--_JM#position=4&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
4,Pokemon Tcg Pokemon V Battle Deck Mewtwo Vs Melmetal,38.625,https://articulo.mercadolibre.com.ar/MLA-1164477470-pokemon-tcg-pokemon-v-battle-deck-mewtwo-vs-melmetal-_JM#position=5&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
5,Pokemon Tcg - Mazo - V Battle Deck Melmetal - Nuevo !!,13.625,https://articulo.mercadolibre.com.ar/MLA-1164299971-pokemon-tcg-mazo-v-battle-deck-melmetal-nuevo--_JM#position=6&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
6,Tcg Pokemon Go - Alolan Exeggutor V - Nueva !,21.125,https://articulo.mercadolibre.com.ar/MLA-1164434181-tcg-pokemon-go-alolan-exeggutor-v-nueva--_JM#position=7&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
7,Pokemon Tcg - Pokemon Go Elite Trainer Box - Nueva !!,49.750,https://articulo.mercadolibre.com.ar/MLA-1164457722-pokemon-tcg-pokemon-go-elite-trainer-box-nueva--_JM#position=8&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
8,Cartas Pokemon Sword & Shield Rhydon 98/202,1.000,https://articulo.mercadolibre.com.ar/MLA-1164475701-cartas-pokemon-sword-shield-rhydon-98202-_JM#position=9&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
9,Pokemon Sword & Shield Chilling Reign Diglett 76/198 Español,750,https://articulo.mercadolibre.com.ar/MLA-1164577037-pokemon-sword-shield-chilling-reign-diglett-76198-espanol-_JM#position=10&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
10,Pokemon Sun & Moon Unified Minds Meditite 109/236 Español,750,https://articulo.mercadolibre.com.ar/MLA-1164583480-pokemon-sun-moon-unified-minds-meditite-109236-espanol-_JM#position=11&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
11,Cartas Pokemon Sword & Shield Rhyhorn 97/202,750,https://articulo.mercadolibre.com.ar/MLA-1164647115-cartas-pokemon-sword-shield-rhyhorn-97202-_JM#position=12&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
12,Cartas Pokemon Sword & Shield Rhyhorn 96/202,750,https://articulo.mercadolibre.com.ar/MLA-1164647140-cartas-pokemon-sword-shield-rhyhorn-96202-_JM#position=13&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
13,Pokemon Sword & Shield Brilliant Stars Nosepass 73/172,750,https://articulo.mercadolibre.com.ar/MLA-1164769960-pokemon-sword-shield-brilliant-stars-nosepass-73172-_JM#position=14&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
14, Sword & Shield Astral Radiance Hisuian Growlithe 70/189,750,https://articulo.mercadolibre.com.ar/MLA-1164833695-sword-shield-astral-radiance-hisuian-growlithe-70189-_JM#position=15&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
15,Pokemon Primera Edicion Nuevas ,22.999,https://articulo.mercadolibre.com.ar/MLA-1164459756-pokemon-primera-edicion-nuevas-_JM#position=16&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
16,Cartas Pokemon Topps Serie 1 Por Unidad,1.500,https://articulo.mercadolibre.com.ar/MLA-1164459599-cartas-pokemon-topps-serie-1-por-unidad-_JM#position=17&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
17,5 Cartas Pokémon Tcg X 500,500,https://articulo.mercadolibre.com.ar/MLA-1164895631-5-cartas-pokemon-tcg-x-500-_JM#position=18&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
18,Carta Pokemon,25.000,https://articulo.mercadolibre.com.ar/MLA-1164349392-carta-pokemon-_JM#position=19&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
19,Cartas Pokemon,8.500,https://articulo.mercadolibre.com.ar/MLA-1164432836-cartas-pokemon-_JM#position=20&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
20,"Cartas Pokemon Ex, Lvx, Secret Rare",100.000,https://articulo.mercadolibre.com.ar/MLA-1164841099-cartas-pokemon-ex-lvx-secret-rare-_JM#position=21&search_layout=grid&type=item&tracking_id=646759e7-08f7-4c54-941d-e10d63f3b93d
