,Unnamed: 0,Product,Price_x,Condition_x,Set_x,Stock_x,Price_y,Condition_y,Set_y,Stock_y
0,0.0,Time Spiral,$160.00,"NM-Mint, Japanese",Urza's Saga,1.0,,,,
1,1.0,Time Spiral,$144.00,"Light Play, Japanese",Urza's Saga,3.0,,,,
2,2.0,Overwhelming Forces,$135.00,"Light Play, Japanese",Portal 3 Kingdoms,2.0,,,,
3,3.0,Chrome Mox,$80.00,"NM-Mint, Japanese",Eternal Masters,1.0,,,,
4,4.0,"Eladamri, Lord of Leaves",$72.40,"NM-Mint, Japanese",Tempest,5.0,,,,
5,5.0,Greater Auramancy,$56.00,"Moderate Play, Japanese",Shadowmoor,1.0,,,,
6,6.0,"Boseiju, Who Endures - Foil - Borderless",$127.40,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,1.0,,,,
7,7.0,Memory Jar,$49.99,"NM-Mint, Japanese",Urza's Legacy,1.0,,,,
8,8.0,Memory Jar,$44.99,"Light Play, Japanese",Urza's Legacy,3.0,,,,
9,9.0,Memory Jar,$39.99,"Moderate Play, Japanese",Urza's Legacy,2.0,,,,
10,10.0,Cover of Darkness,$45.00,"NM-Mint, Japanese",Onslaught,1.0,,,,
11,11.0,"Rofellos, Llanowar Emissary",$45.00,"NM-Mint, Japanese",Urza's Destiny,4.0,,,,
12,12.0,"Rofellos, Llanowar Emissary",$40.50,"Light Play, Japanese",Urza's Destiny,1.0,,,,
13,13.0,Glacial Fortress - Foil Foreign,$44.10,"NM-Mint, Japanese",Magic 2010,1.0,,,,
14,14.0,Breeding Pool - Foil,$42.50,"NM-Mint, Japanese",Gatecrash,1.0,,,,
15,15.0,Finale of Devastation,$40.00,"NM-Mint, Japanese",War of the Spark,2.0,,,,
16,16.0,Inkmoth Nexus,$33.00,"NM-Mint, Japanese",Mirrodin Besieged,1.0,,,,
17,17.0,Spell Queller - Foil Foreign,$30.24,"NM-Mint, Japanese",Eldritch moon,1.0,,,,
18,18.0,Sliver Legion,$30.00,"NM-Mint, Japanese",Future Sight,1.0,,,,
19,19.0,"Gisela, the Broken Blade // Brisela, Voice of Nightmares",$30.00,"NM-Mint, Japanese",Eldritch moon,1.0,,,,
20,20.0,"Ink-Eyes, Servant of Oni",$30.00,"NM-Mint, Japanese",Planechase 2012,2.0,,,,
21,21.0,Crucible of Worlds,$28.00,"NM-Mint, Japanese",Core Set 2019,1.0,,,,
22,22.0,Izzet Staticaster - Foil Foreign,$25.20,"NM-Mint, Japanese",Return to Ravnica,2.0,,,,
23,23.0,Krosan Grip - Foil Foreign,$27.50,"NM-Mint, Japanese",Time Spiral,1.0,,,,
24,24.0,Krosan Grip - Foil Foreign,$22.50,"Light Play, Japanese",Time Spiral,2.0,,,,
25,25.0,Krosan Grip - Foil Foreign,$20.00,"Moderate Play, Japanese",Time Spiral,1.0,,,,
26,26.0,"Minamo, School at Water's Edge",$25.00,"NM-Mint, Japanese",Champions of Kamigawa,1.0,,,,
27,27.0,Steelshaper's Gift,$22.50,"Light Play, Japanese",Fifth Dawn,1.0,,,,
28,28.0,Serra Ascendant,$25.00,"NM-Mint, Japanese",Magic 2011,2.0,,,,
29,29.0,"Aurelia, the Warleader",$25.00,"NM-Mint, Japanese",Gatecrash,1.0,,,,
30,,Syphon Sliver,,,,,$11.00,"NM-Mint, Japanese",Magic 2014,5
31,,"Mogis, God of Slaughter",,,,,$11.00,"NM-Mint, Japanese",Born of the Gods,1
32,,Powder Keg,,,,,$6.30,"Damaged, Japanese",Urza's Destiny,1
33,,Gilded Lotus - Foil,,,,,$10.20,"NM-Mint, Japanese",Magic 2013,4
34,,Shapesharer,,,,,$9.00,"Light Play, Japanese",Lorwyn,1
35,,Liliana Vess,,,,,$10.00,"NM-Mint, Japanese",Magic 2011,2
36,,"Nicol Bolas, Dragon-God",,,,,$10.00,"NM-Mint, Japanese",War of the Spark,2
37,,Spark Double,,,,,$10.00,"NM-Mint, Japanese",War of the Spark,13
38,,Abundant Harvest - Foil - Japanese Alternate Art,,,,,$10.00,"NM-Mint, Japanese",Strixhaven: Mystical Archives,1
39,,Roil Elemental,,,,,$8.99,"Light Play, Japanese",Zendikar,1
40,,Platinum Angel,,,,,$7.20,"Moderate Play, Japanese",Mirrodin,1
41,,Forced Fruition,,,,,$9.00,"NM-Mint, Japanese",Lorwyn,1
42,,Blatant Thievery,,,,,$8.10,"Light Play, Japanese",Commander 2015,1
43,,"Ilharg, the Raze-Boar",,,,,$9.00,"NM-Mint, Japanese",War of the Spark,1
44,,Inventors' Fair,,,,,$8.99,"NM-Mint, Japanese",Kaladesh,2
45,,Might of Old Krosa - Foil,,,,,$8.00,"NM-Mint, Japanese",Time Spiral,4
46,,"Kamahl, Fist of Krosa",,,,,$8.00,"NM-Mint, Japanese",Onslaught,1
47,,Fervent Charge,,,,,$7.20,"Light Play, Japanese",Apocalypse,1
48,,Inexorable Tide,,,,,$8.00,"NM-Mint, Japanese",Scars of Mirrodin,1
49,,Inexorable Tide,,,,,$8.00,"NM-Mint, Japanese",Modern Masters 2015,1
50,,Drowned Catacomb,,,,,$8.00,"NM-Mint, Japanese",Magic 2012,1
51,,Blind Obedience,,,,,$8.00,"NM-Mint, Japanese",Gatecrash,1
52,,Blind Obedience,,,,,$7.20,"Light Play, Japanese",Gatecrash,1
53,,Blind Obedience,,,,,$8.00,"NM-Mint, Japanese",Commander 2016,1
54,,Blind Obedience,,,,,$8.00,"NM-Mint, Japanese",Commander 2017,1
55,,"Phenax, God of Deception",,,,,$8.00,"NM-Mint, Japanese",Born of the Gods,1
56,,Dragonlord Kolaghan,,,,,$8.00,"NM-Mint, Japanese",Dragons of Tarkir,1
57,,Wastes (184) (Full Art) - Foil,,,,,$8.00,"NM-Mint, Japanese",Oath of the Gatewatch,1
58,,Ophiomancer,,,,,$8.00,"NM-Mint, Japanese",Commander 2013,6
59,,"Westvale Abbey // Ormendahl, Profane Prince",,,,,$8.00,"NM-Mint, Japanese",Shadows Over Innistrad,1
60,,"Tamiyo, Field Researcher",,,,,$8.00,"NM-Mint, Japanese",Eldritch moon,1
61,,Forbidden Orchard,,,,,$8.00,"NM-Mint, Japanese",Commander 2016,2
62,,God-Eternal Rhonas,,,,,$8.00,"NM-Mint, Japanese",War of the Spark,7
63,,God-Eternal Oketra,,,,,$8.00,"NM-Mint, Japanese",War of the Spark,4
64,,Eternity Vessel,,,,,$7.99,"NM-Mint, Japanese",Zendikar,1
65,,"Omnath, Locus of the Roil",,,,,$7.99,"NM-Mint, Japanese",Core Set 2020,1
66,,Black Sun's Zenith,,,,,$7.00,"NM-Mint, Japanese",Mirrodin Besieged,2
67,,Primeval Titan,,,,,$6.30,"Light Play, Japanese",Magic 2012,1
68,,"Garruk, Caller of Beasts",,,,,$7.00,"NM-Mint, Japanese",Magic 2014,4
69,,Sanctum of Ugin - Foil,,,,,$7.00,"NM-Mint, Japanese",Battle for Zendikar,2
70,,Collective Voyage,,,,,$7.00,"NM-Mint, Japanese",Commander 2016,1
71,,Hungry Lynx,,,,,$7.00,"NM-Mint, Japanese",Commander 2017,1
72,,Lethal Vapors,,,,,$6.00,"NM-Mint, Japanese",Scourge,1
73,,Cryptic Gateway,,,,,$6.00,"NM-Mint, Japanese",Onslaught,2
74,,Wanderwine Hub,,,,,$6.00,"NM-Mint, Japanese",Lorwyn,1
75,,Wanderwine Hub,,,,,$4.80,"Moderate Play, Japanese",Lorwyn,1
76,,Dusk Urchins,,,,,$6.00,"NM-Mint, Japanese",Shadowmoor,1
77,,Dusk Urchins,,,,,$5.40,"Light Play, Japanese",Shadowmoor,2
78,,Vexing Shusher,,,,,$6.00,"NM-Mint, Japanese",Shadowmoor,1
79,,Phyrexian Unlife,,,,,$6.00,"NM-Mint, Japanese",New Phyrexia,1
80,,"Nicol Bolas, Planeswalker",,,,,$6.00,"NM-Mint, Japanese",Magic 2013,1
81,,Bonescythe Sliver,,,,,$6.00,"NM-Mint, Japanese",Magic 2014,2
82,,Whip of Erebos,,,,,$6.00,"NM-Mint, Japanese",Theros,1
