,Product,Price,Condition,Set,Stock
0,Time Spiral,$160.00,"NM-Mint, Japanese",Urza's Saga,1
1,Time Spiral,$144.00,"Light Play, Japanese",Urza's Saga,3
2,Overwhelming Forces,$135.00,"Light Play, Japanese",Portal 3 Kingdoms,2
3,Chrome Mox,$80.00,"NM-Mint, Japanese",Eternal Masters,1
4,"Eladamri, Lord of Leaves",$72.40,"NM-Mint, Japanese",Tempest,5
5,Greater Auramancy,$56.00,"Moderate Play, Japanese",Shadowmoor,1
6,"Boseiju, Who Endures - Foil - Borderless",$127.40,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,1
7,Memory Jar,$49.99,"NM-Mint, Japanese",Urza's Legacy,1
8,Memory Jar,$44.99,"Light Play, Japanese",Urza's Legacy,3
9,Memory Jar,$39.99,"Moderate Play, Japanese",Urza's Legacy,2
10,Cover of Darkness,$45.00,"NM-Mint, Japanese",Onslaught,1
22,"Rofellos, Llanowar Emissary",$45.00,"NM-Mint, Japanese",Urza's Destiny,4
23,"Rofellos, Llanowar Emissary",$40.50,"Light Play, Japanese",Urza's Destiny,1
24,Glacial Fortress - Foil Foreign,$44.10,"NM-Mint, Japanese",Magic 2010,1
25,Breeding Pool - Foil,$42.50,"NM-Mint, Japanese",Gatecrash,1
26,Finale of Devastation,$40.00,"NM-Mint, Japanese",War of the Spark,2
27,Inkmoth Nexus,$33.00,"NM-Mint, Japanese",Mirrodin Besieged,1
28,Spell Queller - Foil Foreign,$30.24,"NM-Mint, Japanese",Eldritch moon,1
29,Sliver Legion,$30.00,"NM-Mint, Japanese",Future Sight,1
30,"Gisela, the Broken Blade // Brisela, Voice of Nightmares",$30.00,"NM-Mint, Japanese",Eldritch moon,1
31,"Ink-Eyes, Servant of Oni",$30.00,"NM-Mint, Japanese",Planechase 2012,2
32,Crucible of Worlds,$28.00,"NM-Mint, Japanese",Core Set 2019,1
33,Izzet Staticaster - Foil Foreign,$25.20,"NM-Mint, Japanese",Return to Ravnica,2
34,Krosan Grip - Foil Foreign,$27.50,"NM-Mint, Japanese",Time Spiral,1
35,Krosan Grip - Foil Foreign,$22.50,"Light Play, Japanese",Time Spiral,2
36,Krosan Grip - Foil Foreign,$20.00,"Moderate Play, Japanese",Time Spiral,1
37,"Minamo, School at Water's Edge",$25.00,"NM-Mint, Japanese",Champions of Kamigawa,1
38,Steelshaper's Gift,$22.50,"Light Play, Japanese",Fifth Dawn,1
39,Serra Ascendant,$25.00,"NM-Mint, Japanese",Magic 2011,2
40,"Aurelia, the Warleader",$25.00,"NM-Mint, Japanese",Gatecrash,1
41,Lord of the Void,$23.00,"NM-Mint, Japanese",Gatecrash,1
42,"Higure, the Still Wind",$23.00,"NM-Mint, Japanese",Planechase 2012,1
43,Go-Shintai of Life's Origin - Foil,$21.20,"NM-Mint, Japanese",Commander: Kamigawa: Neon Dynasty,1
44,Thragtusk - Foil Foreign,$20.16,"NM-Mint, Japanese",Magic 2013,2
45,Test of Endurance,$20.00,"NM-Mint, Japanese",Judgment,1
46,Bloodchief Ascension,$20.00,"NM-Mint, Japanese",Zendikar,1
47,"Elesh Norn, Grand Cenobite",$18.00,"Light Play, Japanese",New Phyrexia,1
48,"Mikaeus, the Unhallowed",$16.00,"Moderate Play, Japanese",Dark Ascension,1
49,Exquisite Blood,$20.00,"NM-Mint, Japanese",Avacyn Restored,1
50,"Brimaz, King of Oreskos",$20.00,"NM-Mint, Japanese",Born of the Gods,3
51,"Liliana, Dreadhorde General",$20.00,"NM-Mint, Japanese",War of the Spark,6
52,Mutagenic Growth - Foil Foreign,$19.00,"NM-Mint, Japanese",New Phyrexia,4
53,Empress Galina,$16.20,"Light Play, Japanese",Invasion,1
54,Lighthouse Chronologist,$18.00,"NM-Mint, Japanese",Rise of the Eldrazi,2
55,Khalni Hydra,$18.00,"NM-Mint, Japanese",Rise of the Eldrazi,1
56,"Venser, the Sojourner",$16.20,"Light Play, Japanese",Scars of Mirrodin,1
57,Swan Song,$18.00,"NM-Mint, Japanese",Theros,2
58,Void Winnower,$18.00,"NM-Mint, Japanese",Battle for Zendikar,1
59,Swan Song,$18.00,"NM-Mint, Japanese",Commander 2016,1
60,Liliana Vess - Foil,$17.00,"NM-Mint, Japanese",Magic 2010,2
61,Gurmag Angler - Foil Foreign,$19.55,"NM-Mint, Japanese",Fate Reforged,2
62,Hive Mind - Foil Foreign,$16.19,"NM-Mint, Japanese",Magic 2010,2
63,Primordial Hydra,$16.00,"NM-Mint, Japanese",Magic 2013,2
64,Relentless Dead,$16.00,"NM-Mint, Japanese",Shadows Over Innistrad,2
65,Firestorm,$15.30,"NM-Mint, Japanese",Weatherlight,1
66,Firestorm,$13.77,"Light Play, Japanese",Weatherlight,2
67,Angel of Jubilation,$14.00,"NM-Mint, Japanese",Avacyn Restored,1
68,Life from the Loam,$12.60,"Light Play, Japanese",Duel Decks: Izzet vs Golgari,1
69,Darkblast - Foil,$13.60,"NM-Mint, Japanese",Ravnica,1
70,Darkblast - Foil,$12.24,"Light Play, Japanese",Ravnica,1
71,Emerald Medallion,$11.70,"Light Play, Japanese",Tempest,1
72,Olivia Voldaren,$11.70,"Light Play, Japanese",Innistrad,1
73,Crypt Ghast,$13.00,"NM-Mint, Japanese",Gatecrash,1
74,Rise of the Dark Realms,$13.00,"NM-Mint, Japanese",Magic 2014,2
75,Kalonian Hydra,$13.00,"NM-Mint, Japanese",Commander 2016,1
76,Kalonian Hydra,$11.70,"Light Play, Japanese",Commander 2016,1
77,Basilisk Collar - Foil,$11.43,"Light Play, Japanese",Worldwake,1
78,Nature's Claim - Foil,$12.70,"NM-Mint, Japanese",Worldwake,2
79,Blighted Agent - Foil,$12.70,"NM-Mint, Japanese",New Phyrexia,3
80,Primal Command - Foil - Japanese Alternate Art,$12.70,"NM-Mint, Japanese",Strixhaven: Mystical Archives,1
81,Temporal Extortion,$12.00,"NM-Mint, Japanese",Planar Chaos,1
82,Shield of Kaldra,$12.00,"NM-Mint, Japanese",Darksteel,1
83,Wheel and Deal,$12.00,"NM-Mint, Japanese",Onslaught,3
84,Skyshroud Poacher,$12.00,"NM-Mint, Japanese",Nemesis,6
85,Skyshroud Poacher,$10.80,"Light Play, Japanese",Nemesis,2
86,Attrition,$9.60,"Moderate Play, Japanese",Urza's Destiny,1
87,Nissa Revane,$12.00,"NM-Mint, Japanese",Zendikar,1
88,Birds of Paradise,$12.00,"NM-Mint, Japanese",Magic 2012,1
89,"Elspeth, Sun's Champion",$12.00,"NM-Mint, Japanese",Theros,1
90,"Erebos, God of the Dead",$12.00,"NM-Mint, Japanese",Theros,1
91,"Thassa, God of the Sea",$12.00,"NM-Mint, Japanese",Theros,1
92,"Ajani, Mentor of Heroes",$12.00,"NM-Mint, Japanese",Journey into Nyx,1
93,"Jin-Gitaxias, Progress Tyrant",$12.00,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,6
94,Mind Stone - Gateway Foil,$9.90,"Light Play, Japanese",Unique & Misc Promos,1
95,Syphon Sliver,$11.00,"NM-Mint, Japanese",Magic 2014,5
96,"Mogis, God of Slaughter",$11.00,"NM-Mint, Japanese",Born of the Gods,1
97,Powder Keg,$6.30,"Damaged, Japanese",Urza's Destiny,1
98,Gilded Lotus - Foil,$10.20,"NM-Mint, Japanese",Magic 2013,4
99,Shapesharer,$9.00,"Light Play, Japanese",Lorwyn,1
100,Liliana Vess,$10.00,"NM-Mint, Japanese",Magic 2011,2
101,"Nicol Bolas, Dragon-God",$10.00,"NM-Mint, Japanese",War of the Spark,2
102,Spark Double,$10.00,"NM-Mint, Japanese",War of the Spark,13
