,Product,Price,Condition,Set,Stock
0,Syphon Sliver,$11.00,"NM-Mint, Japanese",Magic 2014,5
1,"Mogis, God of Slaughter",$11.00,"NM-Mint, Japanese",Born of the Gods,1
2,Powder Keg,$6.30,"Damaged, Japanese",Urza's Destiny,1
3,Gilded Lotus - Foil,$10.20,"NM-Mint, Japanese",Magic 2013,4
4,Shapesharer,$9.00,"Light Play, Japanese",Lorwyn,1
5,Liliana Vess,$10.00,"NM-Mint, Japanese",Magic 2011,2
6,"Nicol Bolas, Dragon-God",$10.00,"NM-Mint, Japanese",War of the Spark,2
7,Spark Double,$10.00,"NM-Mint, Japanese",War of the Spark,13
8,Abundant Harvest - Foil - Japanese Alternate Art,$10.00,"NM-Mint, Japanese",Strixhaven: Mystical Archives,1
9,Roil Elemental,$8.99,"Light Play, Japanese",Zendikar,1
10,Platinum Angel,$7.20,"Moderate Play, Japanese",Mirrodin,1
11,Forced Fruition,$9.00,"NM-Mint, Japanese",Lorwyn,1
12,Blatant Thievery,$8.10,"Light Play, Japanese",Commander 2015,1
13,"Ilharg, the Raze-Boar",$9.00,"NM-Mint, Japanese",War of the Spark,1
14,Inventors' Fair,$8.99,"NM-Mint, Japanese",Kaladesh,2
15,Might of Old Krosa - Foil,$8.00,"NM-Mint, Japanese",Time Spiral,4
16,"Kamahl, Fist of Krosa",$8.00,"NM-Mint, Japanese",Onslaught,1
17,Fervent Charge,$7.20,"Light Play, Japanese",Apocalypse,1
18,Inexorable Tide,$8.00,"NM-Mint, Japanese",Scars of Mirrodin,1
19,Drowned Catacomb,$8.00,"NM-Mint, Japanese",Magic 2012,1
20,Blind Obedience,$8.00,"NM-Mint, Japanese",Gatecrash,1
21,Blind Obedience,$7.20,"Light Play, Japanese",Gatecrash,1
22,"Phenax, God of Deception",$8.00,"NM-Mint, Japanese",Born of the Gods,1
23,Dragonlord Kolaghan,$8.00,"NM-Mint, Japanese",Dragons of Tarkir,1
24,Wastes (184) (Full Art) - Foil,$8.00,"NM-Mint, Japanese",Oath of the Gatewatch,1
25,Inexorable Tide,$8.00,"NM-Mint, Japanese",Modern Masters 2015,1
26,Ophiomancer,$8.00,"NM-Mint, Japanese",Commander 2013,6
27,"Westvale Abbey // Ormendahl, Profane Prince",$8.00,"NM-Mint, Japanese",Shadows Over Innistrad,1
28,"Tamiyo, Field Researcher",$8.00,"NM-Mint, Japanese",Eldritch moon,1
29,Blind Obedience,$8.00,"NM-Mint, Japanese",Commander 2016,1
30,Forbidden Orchard,$8.00,"NM-Mint, Japanese",Commander 2016,2
31,Blind Obedience,$8.00,"NM-Mint, Japanese",Commander 2017,1
32,God-Eternal Rhonas,$8.00,"NM-Mint, Japanese",War of the Spark,7
33,God-Eternal Oketra,$8.00,"NM-Mint, Japanese",War of the Spark,4
34,Eternity Vessel,$7.99,"NM-Mint, Japanese",Zendikar,1
35,"Omnath, Locus of the Roil",$7.99,"NM-Mint, Japanese",Core Set 2020,1
36,Black Sun's Zenith,$7.00,"NM-Mint, Japanese",Mirrodin Besieged,2
37,Primeval Titan,$6.30,"Light Play, Japanese",Magic 2012,1
38,"Garruk, Caller of Beasts",$7.00,"NM-Mint, Japanese",Magic 2014,4
39,Sanctum of Ugin - Foil,$7.00,"NM-Mint, Japanese",Battle for Zendikar,2
40,Collective Voyage,$7.00,"NM-Mint, Japanese",Commander 2016,1
41,Hungry Lynx,$7.00,"NM-Mint, Japanese",Commander 2017,1
42,Lethal Vapors,$6.00,"NM-Mint, Japanese",Scourge,1
43,Cryptic Gateway,$6.00,"NM-Mint, Japanese",Onslaught,2
44,Wanderwine Hub,$6.00,"NM-Mint, Japanese",Lorwyn,1
45,Wanderwine Hub,$4.80,"Moderate Play, Japanese",Lorwyn,1
46,Dusk Urchins,$6.00,"NM-Mint, Japanese",Shadowmoor,1
47,Dusk Urchins,$5.40,"Light Play, Japanese",Shadowmoor,2
48,Vexing Shusher,$6.00,"NM-Mint, Japanese",Shadowmoor,1
49,Phyrexian Unlife,$6.00,"NM-Mint, Japanese",New Phyrexia,1
50,"Nicol Bolas, Planeswalker",$6.00,"NM-Mint, Japanese",Magic 2013,1
51,Bonescythe Sliver,$6.00,"NM-Mint, Japanese",Magic 2014,2
52,Whip of Erebos,$6.00,"NM-Mint, Japanese",Theros,1
