,Product,Price,Condition,Set,Stock
0,Time Spiral,$160.00,"NM-Mint, Japanese",Urza's Saga,1
1,Time Spiral,$144.00,"Light Play, Japanese",Urza's Saga,3
2,Overwhelming Forces,$135.00,"Light Play, Japanese",Portal 3 Kingdoms,2
3,Chrome Mox,$80.00,"NM-Mint, Japanese",Eternal Masters,1
4,"Eladamri, Lord of Leaves",$72.40,"NM-Mint, Japanese",Tempest,5
5,Greater Auramancy,$56.00,"Moderate Play, Japanese",Shadowmoor,1
6,"Boseiju, Who Endures - Foil - Borderless",$127.40,"NM-Mint, Japanese",Kamigawa: Neon Dynasty,1
7,Memory Jar,$49.99,"NM-Mint, Japanese",Urza's Legacy,1
8,Memory Jar,$44.99,"Light Play, Japanese",Urza's Legacy,3
9,Memory Jar,$39.99,"Moderate Play, Japanese",Urza's Legacy,2
10,Cover of Darkness,$45.00,"NM-Mint, Japanese",Onslaught,1
11,"Rofellos, Llanowar Emissary",$45.00,"NM-Mint, Japanese",Urza's Destiny,4
12,"Rofellos, Llanowar Emissary",$40.50,"Light Play, Japanese",Urza's Destiny,1
13,Glacial Fortress - Foil Foreign,$44.10,"NM-Mint, Japanese",Magic 2010,1
14,Breeding Pool - Foil,$42.50,"NM-Mint, Japanese",Gatecrash,1
15,Finale of Devastation,$40.00,"NM-Mint, Japanese",War of the Spark,2
16,Inkmoth Nexus,$33.00,"NM-Mint, Japanese",Mirrodin Besieged,1
17,Spell Queller - Foil Foreign,$30.24,"NM-Mint, Japanese",Eldritch moon,1
18,Sliver Legion,$30.00,"NM-Mint, Japanese",Future Sight,1
19,"Gisela, the Broken Blade // Brisela, Voice of Nightmares",$30.00,"NM-Mint, Japanese",Eldritch moon,1
20,"Ink-Eyes, Servant of Oni",$30.00,"NM-Mint, Japanese",Planechase 2012,2
21,Crucible of Worlds,$28.00,"NM-Mint, Japanese",Core Set 2019,1
22,Izzet Staticaster - Foil Foreign,$25.20,"NM-Mint, Japanese",Return to Ravnica,2
23,Krosan Grip - Foil Foreign,$27.50,"NM-Mint, Japanese",Time Spiral,1
24,Krosan Grip - Foil Foreign,$22.50,"Light Play, Japanese",Time Spiral,2
25,Krosan Grip - Foil Foreign,$20.00,"Moderate Play, Japanese",Time Spiral,1
26,"Minamo, School at Water's Edge",$25.00,"NM-Mint, Japanese",Champions of Kamigawa,1
27,Steelshaper's Gift,$22.50,"Light Play, Japanese",Fifth Dawn,1
28,Serra Ascendant,$25.00,"NM-Mint, Japanese",Magic 2011,2
29,"Aurelia, the Warleader",$25.00,"NM-Mint, Japanese",Gatecrash,1
