,Product,Set,Condition,Price,Stock,Link
0,Treachery,Urza's Destiny (Foil),Heavily Played - Japanese,$599.99,1,https://starcitygames.com/treachery-sgl-mtg-uds-50-jaf/?sku=SGL-MTG-UDS-50-JAF3
1,Goblin King,7th Edition (Foil),Heavily Played - Japanese,$499.99,1,https://starcitygames.com/goblin-king-sgl-mtg-7ed-190-jaf/?sku=SGL-MTG-7ED-190-JAF3
2,Warrior's Oath,Portal: Three Kingdoms,Near Mint - Japanese,$119.99,3,https://starcitygames.com/warriors-oath-sgl-mtg-ptk-124-jan/?sku=SGL-MTG-PTK-124-JAN1
3,Survival of the Fittest,Exodus,Played - Japanese,$249.99,4,https://starcitygames.com/survival-of-the-fittest-sgl-mtg-exo-129-jan/?sku=SGL-MTG-EXO-129-JAN2
4,Sliver Queen,Stronghold,Near Mint - Japanese,$299.99,9,https://starcitygames.com/sliver-queen-sgl-mtg-sth-129-jan/?sku=SGL-MTG-STH-129-JAN1
5,"Yuan Shao, the Indecisive",Portal: Three Kingdoms,Played - Japanese,$31.99,1,https://starcitygames.com/yuan-shao-the-indecisive-sgl-mtg-ptk-128-jan/?sku=SGL-MTG-PTK-128-JAN2
6,Yawgmoth's Will,Urza's Saga,Played - Japanese,$174.99,1,https://starcitygames.com/yawgmoths-will-sgl-mtg-usg-171-jan/?sku=SGL-MTG-USG-171-JAN2
7,"Nicol Bolas, Dragon-God (Alternate Art)",War of the Spark (Foil),Near Mint - Japanese,$199.99,2,https://starcitygames.com/nicol-bolas-dragon-god-sgl-mtg-war2-207-jaf/?sku=SGL-MTG-WAR2-207-JAF1
8,Birds of Paradise (BB),4th Edition - Black Border,Near Mint - Japanese,$299.99,7,https://starcitygames.com/birds-of-paradise-sgl-mtg-4bb-234-jan/?sku=SGL-MTG-4BB-234-JAN1
9,Tolarian Academy,Urza's Saga,Near Mint - Japanese,$174.99,3,https://starcitygames.com/tolarian-academy-sgl-mtg-usg-330-jan/?sku=SGL-MTG-USG-330-JAN1
10,"Diaochan, Artful Beauty",Portal: Three Kingdoms,Near Mint - Japanese,$39.99,4,https://starcitygames.com/diaochan-artful-beauty-sgl-mtg-ptk-108-jan/?sku=SGL-MTG-PTK-108-JAN1
11,Earthcraft,Tempest,Near Mint - Japanese,$174.99,1,https://starcitygames.com/earthcraft-sgl-mtg-tmp-222-jan/?sku=SGL-MTG-TMP-222-JAN1
12,Metalworker,Urza's Destiny,Played - Japanese,$149.99,3,https://starcitygames.com/metalworker-sgl-mtg-uds-135-jan/?sku=SGL-MTG-UDS-135-JAN2
13,Sylvan Library (BB),4th Edition - Black Border,Near Mint - Japanese,$199.99,1,https://starcitygames.com/sylvan-library-sgl-mtg-4bb-273-jan/?sku=SGL-MTG-4BB-273-JAN1
14,Sliver Hivelord,Magic 2015 Core Set (Foil),Near Mint - Japanese,$149.99,2,https://starcitygames.com/sliver-hivelord-sgl-mtg-m15-211-jaf/?sku=SGL-MTG-M15-211-JAF1
15,Winter Orb (BB),4th Edition - Black Border,Played - Japanese,$94.99,2,https://starcitygames.com/winter-orb-sgl-mtg-4bb-358-jan/?sku=SGL-MTG-4BB-358-JAN2
16,Ring of Gix,Urza's Legacy (Foil),Played - Japanese,$99.99,1,https://starcitygames.com/ring-of-gix-sgl-mtg-ulg-131-jaf/?sku=SGL-MTG-ULG-131-JAF2
17,Doubling Season,Battlebond,Near Mint - Japanese,$89.99,1,https://starcitygames.com/doubling-season-sgl-mtg-bbd-195-jan/?sku=SGL-MTG-BBD-195-JAN1
18,"Iona, Shield of Emeria",Zendikar (Foil),Heavily Played - Japanese,$39.99,1,https://starcitygames.com/iona-shield-of-emeria-sgl-mtg-zen-013-jaf/?sku=SGL-MTG-ZEN-013-JAF3
19,Slashing Tiger,Portal: Three Kingdoms,Near Mint - Japanese,$14.99,5,https://starcitygames.com/slashing-tiger-sgl-mtg-ptk-145-jan/?sku=SGL-MTG-PTK-145-JAN1
20,Jayemdae Tome (BB),4th Edition - Black Border,Near Mint - Japanese,$49.99,3,https://starcitygames.com/jayemdae-tome-sgl-mtg-4bb-331-jan/?sku=SGL-MTG-4BB-331-JAN1
21,"Eladamri, Lord of Leaves",Tempest,Played - Japanese,$57.39,1,https://starcitygames.com/eladamri-lord-of-leaves-sgl-mtg-tmp-224-jan/?sku=SGL-MTG-TMP-224-JAN2
22,Mana Vault,Ultimate Masters,Near Mint - Japanese,$59.49,1,https://starcitygames.com/mana-vault-sgl-mtg-uma-229-jan/?sku=SGL-MTG-UMA-229-JAN1
23,Mycosynth Golem,Fifth Dawn (Foil),Near Mint - Japanese,$49.99,1,https://starcitygames.com/mycosynth-golem-sgl-mtg-5dn-137-jaf/?sku=SGL-MTG-5DN-137-JAF1
